
text,label
"Win big now with our limited-time bonus",manipulative
"Double your winnings instantly today",manipulative
"Don't miss this exclusive betting offer",manipulative
"Act now to claim your huge rewards",manipulative
"Instant cash prizes available now",manipulative
"Limited time deal to win massive jackpots",manipulative
"Bet today and earn easy money",manipulative
"Last chance to win big tonight",manipulative
"Hurry up! Offer ends soon",manipulative
"Unlock huge rewards instantly",manipulative
"Please gamble responsibly. Terms apply.",non_manipulative
"View latest sports odds for today",non_manipulative
"Check football betting options",non_manipulative
"Join our platform for match updates",non_manipulative
"Betting available for users 18+ only",non_manipulative
"Explore today's cricket odds",non_manipulative
"Review betting markets before placing bets",non_manipulative
"All bets are subject to terms and conditions",non_manipulative
"Responsible gambling is encouraged",non_manipulative
"Visit our website for more information",non_manipulative
